Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,8.677400,8.677400,8.677400,8.677400,8.677400,0
2021-05-20,8.717400,8.717400,8.717400,8.717400,8.717400,0
2021-05-21,8.718900,8.718900,8.718900,8.718900,8.718900,0
2021-05-25,8.768700,8.768700,8.768700,8.768700,8.768700,0
2021-05-26,8.822600,8.822600,8.822600,8.822600,8.822600,0
2021-05-27,8.808000,8.808000,8.808000,8.808000,8.808000,0
2021-05-28,8.834700,8.834700,8.834700,8.834700,8.834700,0
2021-05-31,8.816600,8.816600,8.816600,8.816600,8.816600,0
2021-06-01,8.857900,8.857900,8.857900,8.857900,8.857900,0
2021-06-02,8.849000,8.849000,8.849000,8.849000,8.849000,0
2021-06-03,8.851600,8.851600,8.851600,8.851600,8.851600,0
2021-06-04,8.900200,8.900200,8.900200,8.900200,8.900200,0
2021-06-07,8.900100,8.900100,8.900100,8.900100,8.900100,0
2021-06-08,8.915800,8.915800,8.915800,8.915800,8.915800,0
2021-06-09,8.899200,8.899200,8.899200,8.899200,8.899200,0
2021-06-10,8.919000,8.919000,8.919000,8.919000,8.919000,0
2021-06-11,8.971200,8.971200,8.971200,8.971200,8.971200,0
2021-06-14,8.970600,8.970600,8.970600,8.970600,8.970600,0
2021-06-15,8.990000,8.990000,8.990000,8.990000,8.990000,0
2021-06-16,8.982600,8.982600,8.982600,8.982600,8.982600,0
2021-06-17,9.011000,9.011000,9.011000,9.011000,9.011000,0
2021-06-18,8.954300,8.954300,8.954300,8.954300,8.954300,0
2021-06-21,9.001200,9.001200,9.001200,9.001200,9.001200,0
2021-06-22,9.003500,9.003500,9.003500,9.003500,9.003500,0
2021-06-23,8.984400,8.984400,8.984400,8.984400,8.984400,0
2021-06-24,9.037900,9.037900,9.037900,9.037900,9.037900,0
2021-06-25,9.050500,9.050500,9.050500,9.050500,9.050500,0
2021-06-28,9.065100,9.065100,9.065100,9.065100,9.065100,0
2021-06-29,9.095100,9.095100,9.095100,9.095100,9.095100,0
2021-06-30,9.083500,9.083500,9.083500,9.083500,9.083500,0
2021-07-02,9.099800,9.099800,9.099800,9.099800,9.099800,0
2021-07-05,9.106700,9.106700,9.106700,9.106700,9.106700,0
2021-07-06,9.147500,9.147500,9.147500,9.147500,9.147500,0
2021-07-07,9.183800,9.183800,9.183800,9.183800,9.183800,0
2021-07-08,9.117000,9.117000,9.117000,9.117000,9.117000,0
2021-07-09,9.171700,9.171700,9.171700,9.171700,9.171700,0
2021-07-12,9.186100,9.186100,9.186100,9.186100,9.186100,0
2021-07-13,9.198300,9.198300,9.198300,9.198300,9.198300,0
2021-07-14,9.193000,9.193000,9.193000,9.193000,9.193000,0
2021-07-15,9.219800,9.219800,9.219800,9.219800,9.219800,0
2021-07-16,9.169200,9.169200,9.169200,9.169200,9.169200,0
2021-07-19,9.112400,9.112400,9.112400,9.112400,9.112400,0
2021-07-20,9.175400,9.175400,9.175400,9.175400,9.175400,0
2021-07-21,9.188600,9.188600,9.188600,9.188600,9.188600,0
2021-07-22,9.199000,9.199000,9.199000,9.199000,9.199000,0
2021-07-23,9.251900,9.251900,9.251900,9.251900,9.251900,0
